season,year,month,day,hr,is_holiday,is_workingday,weather_condition,temp,humidity,windspeed,count
Spring,2011,January,1,0,No,Weekend,Clear,9.84,81.0,0.0,16
Spring,2011,January,1,1,No,Weekend,Clear,9.02,80.0,0.0,40
Spring,2011,January,1,2,No,Weekend,Clear,9.02,80.0,0.0,32
Spring,2011,January,1,3,No,Weekend,Clear,9.84,75.0,0.0,13
Spring,2011,January,1,4,No,Weekend,Clear,9.84,75.0,0.0,1
Spring,2011,January,1,5,No,Weekend,Cloudy,9.84,75.0,6.0032,1
Spring,2011,January,1,6,No,Weekend,Clear,9.02,80.0,0.0,2
Spring,2011,January,1,7,No,Weekend,Clear,8.200000000000001,86.0,0.0,3
Spring,2011,January,1,8,No,Weekend,Clear,9.84,75.0,0.0,8
Spring,2011,January,1,9,No,Weekend,Clear,13.120000000000001,76.0,0.0,14
Spring,2011,January,1,10,No,Weekend,Clear,15.58,76.0,16.997899999999998,36
Spring,2011,January,1,11,No,Weekend,Clear,14.76,81.0,19.0012,56
Spring,2011,January,1,12,No,Weekend,Clear,17.22,77.0,19.0012,84
Spring,2011,January,1,13,No,Weekend,Cloudy,18.86,72.0,19.999499999999998,94
Spring,2011,January,1,14,No,Weekend,Cloudy,18.86,72.0,19.0012,106
Spring,2011,January,1,15,No,Weekend,Cloudy,18.04,77.0,19.999499999999998,110
Spring,2011,January,1,16,No,Weekend,Cloudy,17.22,82.0,19.999499999999998,93
Spring,2011,January,1,17,No,Weekend,Cloudy,18.04,82.0,19.0012,67
Spring,2011,January,1,18,No,Weekend,Light Rain,17.22,88.0,16.997899999999998,35
Spring,2011,January,1,19,No,Weekend,Light Rain,17.22,88.0,16.997899999999998,37
Spring,2011,January,1,20,No,Weekend,Cloudy,16.400000000000002,87.0,16.997899999999998,36
Spring,2011,January,1,21,No,Weekend,Cloudy,16.400000000000002,87.0,12.998,34
Spring,2011,January,1,22,No,Weekend,Cloudy,16.400000000000002,94.0,15.001299999999999,28
Spring,2011,January,1,23,No,Weekend,Cloudy,18.86,88.0,19.999499999999998,39
Spring,2011,January,2,0,No,Weekend,Cloudy,18.86,88.0,19.999499999999998,17
Spring,2011,January,2,1,No,Weekend,Cloudy,18.04,94.0,16.997899999999998,17
Spring,2011,January,2,2,No,Weekend,Cloudy,17.22,100.0,19.0012,9
Spring,2011,January,2,3,No,Weekend,Cloudy,18.86,94.0,12.998,6
Spring,2011,January,2,4,No,Weekend,Cloudy,18.86,94.0,12.998,3
Spring,2011,January,2,6,No,Weekend,Light Rain,17.22,77.0,19.999499999999998,2
Spring,2011,January,2,7,No,Weekend,Cloudy,16.400000000000002,76.0,12.998,1
Spring,2011,January,2,8,No,Weekend,Light Rain,16.400000000000002,71.0,15.001299999999999,8
Spring,2011,January,2,9,No,Weekend,Cloudy,15.58,76.0,15.001299999999999,20
Spring,2011,January,2,10,No,Weekend,Cloudy,14.76,81.0,15.001299999999999,53
Spring,2011,January,2,11,No,Weekend,Cloudy,14.76,71.0,16.997899999999998,70
Spring,2011,January,2,12,No,Weekend,Cloudy,14.76,66.0,19.999499999999998,93
Spring,2011,January,2,13,No,Weekend,Cloudy,14.76,66.0,8.9981,75
Spring,2011,January,2,14,No,Weekend,Light Rain,14.76,76.0,12.998,59
Spring,2011,January,2,15,No,Weekend,Light Rain,13.940000000000001,81.0,11.0014,74
Spring,2011,January,2,16,No,Weekend,Light Rain,13.940000000000001,71.0,11.0014,76
